scenario_id,arrival_rate_mean,res_Pharmacist_amount,res_Pharmacist_cost,res_Technician_amount,res_Technician_cost,res_Pharmacy_Information_System_amount,res_Pharmacy_Information_System_cost,el_sid-532DCBA6-2EA6-435D-AA1E-8B5115299C25_duration,el_sid-582150C6-EBEA-4A55-8E1D-7F0CA0B8CA54_duration,el_sid-2A37B8CB-663C-4265-839A-282F772E84CD_duration,el_sid-E0879ACC-9536-498C-BA79-DA8902BE9B34_duration,el_sid-4AE2ED27-9C67-481A-9168-772F2443AC40_duration,el_sid-C12EBC64-C7FC-447C-B752-63144C613AE3_duration,el_sid-5C5825C2-B65C-45BE-A3ED-994F57BB36F6_duration,el_sid-6476CFCF-4619-47E1-AAB6-E759EBBCFA19_duration,el_sid-4C7E683B-8A7A-4FC5-9BFE-7E06CB00DD9A_duration,el_sid-B3B7EE72-DC71-4E7F-8294-7D1D0931D128_duration,el_sid-A8BB4918-B634-4771-B746-709A2319BB3A_duration,el_sid-8B110648-DDB2-4073-B0E5-58F8A11C3BC1_duration,el_sid-780ADF48-2A4E-474C-949B-400E8E093FAB_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
26,12250.24,8,24.39,2,56.91,2,15.52,103.92,23.46,7.69,134.19,726.32,197.99,466.75,65.44,68.98,23.26,141.43,2650.43,54.21,36778.62158729425,481.8470380977923,23886.938855635155,382.45905095320893,63590.83368908969,309.3618288193953,5,True,True,True,True
37,15406.67,8,24.52,6,56.28,1,13.45,147.56,11.79,6.27,224.23,274.15,452.84,298.04,56.48,31.5,17.24,149.1,1479.36,26.53,18344.160036016405,385.87258658398247,18473.89551698375,222.89224075705158,58075.44064495748,818.9348207209507,8,True,True,True,True
6,12941.74,7,52.88,3,35.59,1,17.29,108.96,27.42,6.58,262.25,125.6,512.81,150.29,25.07,39.25,6.57,86.66,5521.32,133.14,40590.43129510284,546.0475127851362,27329.645719620738,660.8277830712664,65116.30143127592,918.2578407839792,9,True,True,True,True
35,9968.55,11,106.36,4,71.65,1,4.02,81.11,31.53,22.99,89.01,736.76,96.52,138.19,48.62,18.41,7.36,66.07,3406.57,144.98,70136.07326029557,1288.6034531824619,21018.9294720687,198.1487185316726,59342.6784892082,694.7070154282037,6,True,True,True,True
41,19119.14,11,29.9,7,64.1,1,11.35,88.44,16.67,17.06,264.99,332.83,395.47,704.56,15.68,21.93,16.26,45.85,4074.02,137.02,38622.97016503021,424.5690749673698,20763.886480524594,319.15567246221514,57559.1828086194,546.5748277518942,6,True,True,True,True
40,15788.99,2,107.01,6,15.76,1,23.37,83.94,24.96,19.34,75.37,521.47,120.05,253.06,60.9,22.82,11.77,92.34,4703.33,58.59,18463.710143364016,231.72917147560287,20995.210739732553,349.6977330441341,58061.57352705705,444.1017801601183,6,True,True,True,True
33,11538.09,6,103.82,5,28.02,2,11.54,119.3,12.37,14.84,60.49,191.14,103.78,626.29,13.3,39.21,5.51,61.39,4490.7,55.64,38386.9574406577,552.9792615485071,22112.06196812779,469.1250616700564,59343.01000134356,986.8556965129272,8,True,True,True,True
30,8451.61,10,26.72,4,49.33,1,22.22,65.13,18.56,16.42,210.32,688.46,337.43,504.96,58.86,67.63,16.55,145.63,2358.32,141.04,43781.60860969948,772.863025722182,21061.276824287877,379.9087154063905,60486.84437318745,922.0797103326906,6,True,True,True,True
42,16443.25,9,99.14,4,55.93,1,24.49,119.9,10.04,13.46,281.54,525.64,319.48,469.39,16.02,51.79,11.45,136.53,2911.47,29.52,36293.536511012666,629.4459932327499,20292.379291554535,417.3366790833038,58629.20661938445,922.7402223774453,8,True,True,True,True
36,7632.4,6,102.47,4,37.41,2,14.73,91.46,13.75,6.99,150.94,534.07,205.28,244.96,42.51,59.96,17.29,82.04,3513.16,77.56,59826.57235075107,758.4668123440714,23020.034789006546,368.4888401253019,62086.9139026825,667.2513059376067,5,True,True,True,True
39,12400.42,4,30.84,5,31.3,2,20.62,43.04,35.62,17.99,214.14,253.55,209.02,475.85,73.49,19.45,9.83,76.22,7522.48,88.4,48263.783698122876,965.5726767779415,25509.05651551449,371.8285405814179,60737.49418745943,450.7396391066994,7,True,True,True,True
45,13460.99,10,90.16,5,63.14,2,20.37,124.31,18.87,18.1,259.7,576.22,581.89,631.0,66.51,14.96,6.52,29.55,4614.26,43.39,62091.64734672171,937.7320597672481,22163.288917733084,415.7622783537301,58962.097487096784,643.258493538831,6,True,True,True,True
27,15311.38,4,29.45,3,32.39,1,20.58,25.26,15.23,23.81,93.82,662.04,248.08,594.74,28.91,40.4,22.8,67.46,5985.12,136.16,32868.546596627544,456.8920598643693,26619.349324441533,916.727274583584,63407.216252291226,1300.7607261640876,14,True,True,True,True
47,15965.76,7,61.96,7,18.53,1,10.74,49.24,22.16,7.76,247.83,468.91,403.88,315.51,57.01,24.2,5.29,38.17,8654.17,114.81,32782.14627310185,459.56030454820007,24391.135931042612,439.9469259851395,58220.5501124494,756.5240034951781,7,True,True,True,True
17,17499.36,3,70.71,2,35.19,1,12.1,77.95,29.2,4.32,200.24,172.75,515.5,477.55,50.39,23.28,13.7,80.94,7600.83,49.6,39181.77729735289,743.4969481728805,43173.13123905869,2404.80608362254,78632.0213199121,2548.5907788852664,15,False,True,True,False
12,8674.74,12,35.89,8,23.3,2,8.84,108.48,34.23,22.02,184.45,187.32,306.12,414.93,70.43,23.84,23.88,134.91,8521.42,133.82,58620.03591315592,1236.141957394112,26289.08622758155,605.4796499120331,60611.23563921206,916.7148644391224,8,True,True,True,True
50,16643.23,9,69.78,7,73.33,2,17.59,32.19,18.67,9.59,148.12,326.93,152.17,484.73,68.2,49.78,11.85,31.74,3297.96,65.79,40527.43506456291,491.0553432033054,20125.51880069435,292.1127402526884,58083.197068433365,956.890268784672,6,True,True,True,True
52,14094.08,4,67.1,5,12.4,1,24.34,74.16,13.68,23.88,167.39,193.81,591.32,428.37,37.77,16.57,22.11,121.88,2856.06,55.7,14223.212459403934,217.49125109749173,19995.711506656633,279.2287739152539,58202.29469970997,698.1404882316652,6,True,True,True,True
55,17308.94,10,38.64,7,26.5,2,19.82,112.73,8.14,14.31,199.68,146.64,137.18,490.93,43.98,35.33,14.99,27.04,5886.56,46.29,29020.998039288756,343.0628112513738,22154.055120050685,378.6761096267542,58178.83483390902,501.1572945318695,6,True,True,True,True
51,18945.25,12,42.09,3,26.02,2,8.55,125.52,19.29,14.33,247.32,216.9,299.12,253.31,37.86,48.55,16.7,30.87,4162.59,45.41,20589.850754026436,330.47323994324535,21332.894634735265,335.15198159245216,59081.26809534591,783.575304864864,6,True,True,True,True
57,15109.88,11,97.5,4,33.44,1,7.29,78.08,15.16,11.08,169.6,717.7,373.17,164.75,27.83,43.06,20.73,98.21,6601.0,137.4,41616.98981934184,552.10104846716,23993.662652226638,285.3852757579876,60081.47778376257,170.52133226244743,5,True,True,True,True
49,10338.38,11,55.04,5,51.29,2,4.29,121.82,22.04,6.34,205.77,354.52,566.48,131.82,20.89,14.5,12.26,36.71,5819.15,109.73,76984.02051872427,596.5343750124832,23608.97642260614,366.6315459327635,60665.351313471656,447.9088815677297,5,True,True,True,True
59,13678.05,10,29.05,7,35.78,1,7.37,24.73,9.27,23.62,226.02,188.92,501.02,273.17,18.92,34.09,6.57,122.81,3229.7,104.89,29356.78539606363,325.1174199303131,19581.85773408611,297.9072740084961,57368.455096760335,747.5376977396722,5,True,True,True,True
43,14636.64,6,19.89,1,64.87,1,8.72,118.73,19.23,13.47,272.76,295.54,308.69,314.62,71.96,45.71,23.85,142.8,1695.26,119.91,25164.370130106578,326.83171089020595,25986.533106948234,1161.1551849372822,66181.25001916346,1580.8211844146679,15,False,True,True,False
58,9538.83,8,40.97,8,25.13,2,6.95,62.47,22.59,23.43,116.05,718.84,227.48,713.73,67.73,25.01,4.18,35.56,7815.75,82.35,53760.28204598573,835.1700843633747,25342.060891251982,247.93723440969094,60282.44382842417,844.997554099763,5,True,True,True,True
48,10707.34,7,66.55,5,55.75,2,22.13,98.32,30.31,8.42,69.55,419.46,186.54,541.52,56.73,31.21,20.0,82.49,6774.41,43.31,87955.50784654608,1024.4438226207712,26671.72698710215,606.8344896053488,62366.47060653982,1383.4925862693758,8,True,True,True,True
64,18960.88,11,24.21,5,32.07,2,5.78,148.16,10.74,4.71,188.01,557.09,579.83,438.12,61.41,47.62,20.51,27.73,1670.83,30.8,15172.851298521806,233.0782281790339,18880.07576122646,284.5656522840229,57476.56032797347,684.3381976852631,6,True,True,True,True
63,13267.18,12,36.59,8,43.83,1,7.62,70.32,19.03,24.78,170.96,234.35,265.01,439.06,16.91,36.1,22.31,89.06,1630.05,76.88,21870.887776184296,290.7204279050267,18346.4087549026,190.88900340953535,57366.68677432507,892.8541684771476,5,True,True,True,True
62,13998.4,8,91.78,6,30.13,1,23.45,88.72,32.04,8.95,53.33,255.59,155.79,518.58,39.27,52.18,10.77,27.2,5700.61,79.16,39661.87708233325,510.57697176215765,22115.29148431548,399.14950676975553,58301.38765787205,791.4444021526998,7,True,True,True,True
66,18667.45,4,24.89,6,51.33,2,21.83,36.96,20.49,23.08,181.49,206.96,211.71,210.02,27.98,28.58,17.46,35.67,8524.59,118.46,52185.8000602059,856.6793978505508,24100.991579492325,462.5625837004039,58127.40813742367,444.11338810048534,7,True,True,True,True
61,10509.46,10,81.42,7,56.68,1,24.94,149.76,12.06,18.39,200.37,481.07,216.41,169.02,64.86,13.41,24.37,110.99,8300.97,112.24,107595.05185690123,1341.4988343341497,24977.840689316432,223.41896294254653,59322.8494616059,1071.352122183628,7,True,True,True,True
68,12142.85,7,81.65,7,51.45,2,18.55,40.41,25.28,7.73,236.76,716.03,252.67,385.47,48.03,69.94,6.09,50.98,2055.1,35.13,32950.28619022037,428.71082630585653,19024.81400075342,245.62641961269608,57733.27965500233,745.5275236289167,5,True,True,True,True
69,13568.53,9,99.74,5,58.29,2,21.15,92.62,6.27,18.25,225.89,726.13,101.76,638.19,54.95,16.3,15.29,114.86,3658.5,60.12,47992.3046604059,690.9700226192933,21260.745461752842,244.57780315517664,58761.43984588728,936.8212492999189,5,True,True,True,True
54,8253.41,5,25.53,5,48.38,2,13.56,108.13,35.18,23.56,227.35,210.39,483.61,638.81,71.48,53.78,21.35,27.14,6125.43,144.15,87117.67838479913,1539.874794778631,30716.412535690564,839.1879836098228,66903.18371832353,1061.6206030664403,10,True,True,True,True
70,10603.91,5,48.45,6,72.81,2,13.62,50.15,30.7,8.9,134.81,227.27,214.45,571.82,22.6,17.29,10.78,53.09,7551.33,104.52,112967.61908667562,997.0167084786601,25322.945150528052,350.03757756382663,60326.28681612556,601.1812213661066,5,True,True,True,True
46,18398.22,4,43.76,1,51.18,1,5.78,103.28,22.11,19.72,173.78,620.79,464.1,161.88,18.62,32.54,21.7,46.82,5059.38,109.8,35303.28648335126,457.94838584885787,79129.79396878586,20803.591598489915,123536.8737959415,27956.486753669305,15,False,False,True,False
74,18231.52,6,81.92,5,54.16,1,15.02,24.5,36.52,20.34,290.43,508.51,493.68,216.1,68.79,24.77,11.47,80.1,5304.36,128.4,40778.33173184187,942.22790438488,21639.74326153131,402.21749639064353,58203.94487946844,746.5135886972156,8,True,True,True,True
24,9854.49,10,72.31,4,43.9,1,15.96,134.14,29.39,21.23,151.3,714.06,500.68,145.91,32.94,23.09,13.22,70.8,6850.69,34.35,73300.46268238836,1015.4416037020659,32340.628192938173,1207.126052302227,68554.87393567624,1664.8752459314924,15,False,True,True,False
20,9109.13,4,29.5,4,44.92,1,5.5,36.47,27.86,13.42,116.16,310.18,122.5,632.38,12.31,17.61,16.97,40.89,6074.05,61.44,80105.89648317461,1391.836865801857,33070.420368169835,1140.8828799012622,69996.01682143255,1213.6085927034715,14,True,True,True,True
76,16924.02,7,82.49,8,57.42,2,10.49,94.78,13.03,11.35,62.29,324.72,253.35,139.7,26.35,69.85,22.72,138.07,2782.37,83.15,30385.57793754098,357.812440169372,18672.055503443113,327.0806811653824,56767.8491065581,1110.4363552067323,7,True,True,True,True
38,12163.55,5,86.08,2,51.98,1,4.83,129.22,19.8,14.18,66.54,583.41,297.06,369.12,37.61,64.47,17.11,48.45,5854.04,111.01,63088.248370585825,807.059261899169,52581.43304788202,3393.2408758531,89956.38111627422,3982.9425905444023,15,False,False,True,False
77,16621.09,8,41.05,5,33.07,2,12.19,124.96,17.77,20.62,200.2,202.37,534.89,565.52,22.13,22.2,11.42,38.61,7147.07,73.48,36006.296856483634,658.8218812974326,24018.262469457957,422.1047337826284,58805.17877527315,689.2142227041704,7,True,True,True,True
22,10390.25,9,26.37,2,53.15,1,24.74,131.3,7.62,15.66,60.64,420.72,205.11,385.17,18.5,69.64,7.93,88.53,4560.84,90.09,61926.508562004456,1039.5477990728436,47697.60334073763,2025.7083284123362,85964.58778149418,2179.681837989588,15,False,True,True,False
78,11170.12,4,66.96,8,64.74,1,15.96,71.85,24.3,18.14,110.56,569.8,533.83,703.41,19.18,70.85,10.12,84.65,5039.35,75.18,76117.64603814215,1387.8909636865112,22009.726419467857,402.17221657414757,58835.55222969238,642.0769483544981,7,True,True,True,True
81,11396.58,2,104.19,2,50.46,1,14.56,82.64,14.76,4.95,228.74,377.59,262.38,601.01,25.05,24.49,12.98,135.11,1761.13,28.14,33423.519227774486,412.83226798902376,21333.742018296434,269.23702288206584,61287.552213373245,889.6772921319767,5,True,True,True,True
82,19764.94,9,38.57,7,73.75,2,23.72,52.22,35.99,7.04,138.61,663.48,148.68,598.65,20.69,37.71,13.61,88.0,3887.66,108.79,37664.98544470886,718.2611563744367,20462.80408026864,567.8047264715415,57769.00404364486,733.5941432938502,10,True,True,True,True
71,8713.19,7,89.91,5,51.99,2,4.96,89.92,24.66,4.82,142.96,317.7,554.89,463.27,70.22,22.06,8.25,75.33,5451.09,121.86,83587.98662676553,1663.8120782401604,25693.40241894001,707.549080369624,62917.229568357165,1347.0679416145515,11,True,True,True,True
84,15821.66,3,88.81,8,67.69,1,19.44,105.75,14.91,21.64,144.63,381.96,274.59,328.09,46.47,38.8,21.55,56.23,3792.56,70.16,41990.63602916992,727.8928798019556,20118.202497647642,313.7485895006254,57571.27265629385,898.9498700370982,6,True,True,True,True
73,12265.65,10,43.38,3,74.06,2,4.67,131.69,32.57,19.19,74.12,405.33,154.47,606.51,32.45,19.24,4.33,33.35,8179.13,73.94,108007.94949287678,2009.0656546551008,44002.34008413392,2099.4276676327727,79044.6109721903,2464.9180807105577,15,False,True,True,False
67,11102.82,8,66.57,2,30.73,2,13.06,62.85,8.79,23.16,51.03,634.87,584.09,333.21,35.77,33.18,10.03,104.12,5629.1,37.05,42639.98487842164,579.7235588112163,60665.309507779755,4151.250937276356,98476.41464808461,4840.988444632736,15,False,False,True,False
65,5653.76,8,53.42,5,26.41,2,16.48,59.14,10.54,4.22,54.48,714.95,284.9,516.45,42.47,34.9,24.98,91.56,4755.38,27.55,64706.22022015046,996.3337131174497,33496.963438147824,771.8594074161834,71571.10515469767,1239.2735115881296,9,True,True,True,True
32,7329.61,11,53.64,5,32.34,2,24.42,145.82,32.15,13.65,184.72,498.77,301.86,378.61,21.6,26.69,23.0,81.86,8711.13,32.4,95067.83025369918,803.4378654990803,47194.01832904099,1307.8784582045407,81877.91457564049,1509.1437037989492,11,True,True,True,True
87,13425.73,2,34.29,7,42.29,1,7.96,91.93,29.02,10.33,48.86,150.09,541.43,469.59,27.69,37.05,8.18,64.16,6675.71,65.82,52235.5923954671,751.2565325640496,23069.19953237335,312.2751143190283,58731.981027336114,852.2105541850449,5,True,True,True,True
75,8117.38,4,80.77,2,55.11,2,19.78,140.78,33.3,4.26,255.41,134.28,592.99,637.5,65.13,54.03,24.66,68.11,2788.4,138.36,72342.54189221222,755.9076008109448,42323.08371234424,1244.7159597208642,81824.06341797972,1818.057844221902,11,True,True,True,True
89,13500.29,4,87.09,7,13.24,2,22.92,122.06,15.32,7.72,286.64,682.29,559.51,591.62,32.68,31.28,10.88,72.49,5627.5,138.62,25774.416280160603,341.56767681123216,22335.26044036015,469.6312481327313,58072.85303420986,896.8369457358122,7,True,True,True,True
44,6770.1,11,56.35,3,73.06,2,22.0,44.54,27.35,16.95,151.67,711.97,456.65,622.36,68.75,24.42,21.75,92.82,3717.68,58.85,106885.87120782866,1617.927068411742,40608.16659207542,1838.3987148761641,79331.02933342992,2301.4505017835518,15,False,True,True,False
93,19584.53,8,61.41,5,39.39,2,5.19,146.48,30.07,4.69,299.88,214.25,525.48,269.27,24.1,14.85,20.85,145.7,5837.94,43.45,32444.877149982964,296.91175441290255,22436.713808537203,412.3217194987892,58222.735667127876,575.8137271503672,6,True,True,True,True
91,9153.78,5,95.43,8,30.43,2,23.0,59.81,18.55,16.05,258.72,677.7,372.36,621.53,16.22,36.31,9.6,93.19,4282.91,111.29,56559.239300453104,669.9497876076642,21373.998786921704,383.37866065714894,59196.34610150681,669.8248119548208,6,True,True,True,True
90,10479.14,3,67.0,6,38.36,2,6.63,112.18,19.09,4.01,259.02,440.34,443.0,644.36,15.94,19.6,11.69,138.11,8003.23,107.83,78038.14705853547,714.5835186217208,26703.754666453307,383.534803961658,61777.78667047451,719.0801032695542,5,True,True,True,True
95,12990.63,2,39.37,8,35.98,1,14.01,44.38,30.98,12.75,173.99,301.62,279.39,470.84,28.81,53.75,4.64,141.44,7291.39,84.54,52596.74167624028,970.1927391095102,23540.023872524278,278.0182425768464,58891.98969913763,532.4820738648652,7,True,True,True,True
96,15778.16,10,69.81,6,42.86,2,18.38,35.68,34.64,8.88,94.57,206.13,568.91,383.84,21.88,53.68,4.25,142.28,5047.83,29.81,39617.40446109609,601.4619110638812,21397.988594126182,419.3056149523564,58207.81798693743,856.1652328972247,7,True,True,True,True
97,14962.96,3,67.09,4,73.64,2,19.68,28.2,17.03,18.43,90.59,377.33,124.5,125.21,29.08,35.69,15.44,29.7,6754.69,75.14,70980.05542486254,1030.9239451046417,23891.55912781136,469.0834645559323,60171.05047097878,934.6443121770641,7,True,True,True,True
98,18963.28,10,24.82,7,30.34,2,11.35,59.24,15.15,12.28,53.92,274.92,308.98,539.85,47.69,13.67,9.86,144.33,4632.51,135.79,19537.97080611613,365.36543565621207,21039.05259105103,440.96055497014015,57587.35711191276,574.5191019555224,7,True,True,True,True
94,8509.11,12,86.23,7,14.88,1,9.5,95.1,15.63,24.41,251.67,670.15,334.65,442.98,22.13,32.97,6.98,87.59,5192.58,76.1,43867.15783971416,546.0251769565654,22703.346777369705,87.59825314027539,59548.458579739425,317.2069412818459,5,True,True,True,True
100,17349.48,3,45.3,5,14.71,2,16.53,123.57,27.68,7.99,119.75,516.44,398.36,747.34,43.62,43.13,24.55,64.56,7482.9,75.47,24358.77205668961,139.32539741612152,24491.445130969412,307.11118806402953,59383.4612386198,821.2296841010489,5,True,True,True,True
99,12464.56,10,66.38,5,73.25,2,15.93,60.14,20.73,16.81,109.96,314.95,232.22,709.82,35.81,14.56,18.75,136.12,6154.11,99.49,88591.50236215538,755.024285102063,23970.016354425774,194.95071075319302,60309.67505282973,437.3852732941846,5,True,True,True,True
88,8012.74,12,83.06,6,55.4,1,6.57,45.78,12.49,5.27,218.54,505.05,528.39,694.4,46.67,31.81,22.68,139.51,7769.84,33.57,129375.96680512327,2082.4063712490356,32553.424993473454,446.6307610979398,67807.99466660935,1064.7582062128242,6,True,True,True,True
11,6859.27,10,74.84,4,13.81,1,23.49,32.87,35.87,17.06,176.87,537.59,165.54,542.33,44.28,46.59,8.29,84.94,5912.46,125.08,43795.917952474134,655.2445960430377,45844.472796249975,2267.49696544329,82784.70527990028,2616.545473361044,15,False,True,True,False
104,17402.69,5,38.42,6,19.9,2,19.83,116.63,26.32,21.31,183.65,596.2,206.43,350.65,28.72,47.29,9.58,31.62,5224.69,82.22,20409.659402553174,216.85193479975837,21760.51387127285,427.54320685556024,58322.809816989735,679.1907448327631,7,True,True,True,True
105,14427.2,12,27.14,8,43.92,1,8.33,135.3,25.28,9.99,232.89,245.29,260.03,407.2,43.15,61.56,16.72,71.89,3099.14,71.5,31324.198854130704,423.33545023815606,19796.83639167265,262.70786433408574,57750.39658491674,564.3803604758222,5,True,True,True,True
101,18961.46,9,92.16,3,49.25,2,23.38,133.54,36.66,8.72,219.59,416.77,546.98,365.89,34.34,33.86,11.79,55.55,7625.25,83.29,48740.75138972182,722.0568566887888,26929.708003816762,844.1911169300947,62297.14516655089,1256.605508787373,12,True,True,True,True
86,14089.62,4,76.17,2,35.47,1,20.67,144.89,18.73,11.19,117.15,335.73,579.26,666.35,59.37,63.29,22.11,40.36,7130.55,65.44,46700.72424490109,818.6461978818222,66078.79755739789,6743.897856419689,103144.88725332246,7911.61125456736,15,False,False,True,False
108,17661.51,12,29.14,6,34.09,2,5.59,84.04,19.9,16.98,187.8,378.32,599.53,337.59,26.04,65.53,16.61,137.71,7133.37,135.98,36186.463996717284,293.6799197764249,23387.62125665131,228.34286879915857,58677.92106756952,542.951238521635,5,True,True,True,True
109,13024.57,5,88.88,7,32.89,1,8.08,43.08,23.09,24.99,179.14,539.4,479.16,724.39,20.45,52.48,6.3,120.22,1972.83,137.14,25698.269162733788,394.973861870777,18968.250892079235,247.90806035339676,57442.46582520232,602.8477053388616,6,True,True,True,True
106,19538.76,6,29.6,1,41.25,1,6.91,65.03,16.13,5.16,65.28,734.31,244.78,569.23,37.15,55.53,9.47,35.71,1474.05,77.65,13124.773701019823,234.36387988727336,21339.39808379954,800.5993407428732,61390.483117183634,1100.7201878234077,15,False,True,True,False
110,18767.82,8,85.33,5,43.64,1,22.4,32.67,9.08,13.36,114.72,160.52,342.97,395.9,56.91,36.21,21.71,127.31,6164.93,122.34,38098.16232658784,948.3966476977353,22552.320706401366,550.8468951226528,58774.409909491325,680.0086246170955,9,True,True,True,True
