scenario_id,arrival_rate_mean,res_Pharmacist_amount,res_Pharmacist_cost,res_Technician_amount,res_Technician_cost,res_Pharmacy_Information_System_amount,res_Pharmacy_Information_System_cost,el_sid-532DCBA6-2EA6-435D-AA1E-8B5115299C25_duration,el_sid-582150C6-EBEA-4A55-8E1D-7F0CA0B8CA54_duration,el_sid-2A37B8CB-663C-4265-839A-282F772E84CD_duration,el_sid-E0879ACC-9536-498C-BA79-DA8902BE9B34_duration,el_sid-4AE2ED27-9C67-481A-9168-772F2443AC40_duration,el_sid-C12EBC64-C7FC-447C-B752-63144C613AE3_duration,el_sid-5C5825C2-B65C-45BE-A3ED-994F57BB36F6_duration,el_sid-6476CFCF-4619-47E1-AAB6-E759EBBCFA19_duration,el_sid-4C7E683B-8A7A-4FC5-9BFE-7E06CB00DD9A_duration,el_sid-B3B7EE72-DC71-4E7F-8294-7D1D0931D128_duration,el_sid-A8BB4918-B634-4771-B746-709A2319BB3A_duration,el_sid-8B110648-DDB2-4073-B0E5-58F8A11C3BC1_duration,el_sid-780ADF48-2A4E-474C-949B-400E8E093FAB_duration,kpi_total_cost,kpi_cycle_time,kpi_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
12.0,8674.74,12.0,35.89,8.0,23.3,2.0,8.84,108.48,34.23,22.02,184.45,187.32,306.12,414.93,70.43,23.84,23.88,134.91,8521.42,133.82,59526.429385430434,26173.71927272802,20137.152449477053,8.0,True,True,True,True
13.0,17792.24,11.0,94.64,7.0,28.47,1.0,23.88,101.34,34.68,24.68,253.04,171.92,508.12,446.18,19.37,43.37,20.31,91.83,8945.27,99.47,37288.76172704421,24799.883145680335,17739.91652806027,10.0,True,True,True,True
14.0,17290.1,9.0,84.41,3.0,66.19,1.0,15.52,120.05,20.72,16.02,64.02,527.53,296.97,264.09,52.96,30.82,22.72,77.1,1673.0,133.79,24894.527151415336,18613.592313847836,17206.791207366852,7.0,True,True,True,True
15.0,15237.24,9.0,50.55,7.0,14.82,1.0,7.07,114.57,20.4,24.49,260.64,469.72,105.24,365.55,26.6,71.52,23.08,145.88,7362.16,98.06,23539.937319085693,23673.35612659822,17966.386314213498,5.0,True,True,True,True
16.0,13368.72,11.0,26.89,4.0,33.93,1.0,4.45,134.2,7.4,20.85,223.3,217.65,579.15,537.88,22.31,29.51,10.29,75.33,4348.65,76.11,36939.1219514639,22354.538699344816,19162.56048804671,6.0,True,True,True,True
17.0,17499.36,3.0,70.71,2.0,35.19,1.0,12.1,77.95,29.2,4.32,200.24,172.75,515.5,477.55,50.39,23.28,13.7,80.94,7600.83,49.6,39393.03161838276,43440.78698211979,38892.274541814535,36.0,True,True,True,True
18.0,10879.69,4.0,44.54,6.0,17.21,2.0,15.84,105.18,20.97,6.57,233.52,691.66,573.95,584.96,54.37,52.17,17.15,24.93,2427.57,93.39,23578.83065303803,20031.883455444433,17790.258259690203,8.0,True,True,True,True
19.0,11192.63,5.0,43.88,8.0,15.78,1.0,19.08,122.4,15.82,23.24,158.0,378.11,455.66,392.77,39.84,69.83,5.88,81.92,5517.81,144.23,29595.95603898284,22243.4723008355,17975.791258980753,5.0,True,True,True,True
20.0,9109.13,4.0,29.5,4.0,44.92,1.0,5.5,36.47,27.86,13.42,116.16,310.18,122.5,632.38,12.31,17.61,16.97,40.89,6074.05,61.44,80021.66984985676,33254.11021475743,29779.2365464951,9.0,True,True,True,True
21.0,16549.6,6.0,85.08,5.0,17.61,1.0,24.6,77.35,36.19,18.2,217.36,745.43,526.35,259.66,23.64,33.45,17.78,24.03,5010.1,100.4,20102.502243147577,21740.200183594316,17941.43518927126,10.0,True,True,True,True
22.0,10390.25,9.0,26.37,2.0,53.15,1.0,24.74,131.3,7.62,15.66,60.64,420.72,205.11,385.17,18.5,69.64,7.93,88.53,4560.84,90.09,61846.582869543374,46997.85086465385,45196.360668595225,9.0,True,True,True,True
23.0,15254.91,6.0,30.16,6.0,19.16,1.0,21.92,49.42,28.57,13.88,135.99,160.23,247.93,460.39,55.07,58.79,17.74,131.27,1536.94,55.92,11838.627508286314,18486.803550745302,16841.00004524948,6.0,True,True,True,True
24.0,9854.49,10.0,72.31,4.0,43.9,1.0,15.96,134.14,29.39,21.23,151.3,714.06,500.68,145.91,32.94,23.09,13.22,70.8,6850.69,34.35,73518.6696598996,32288.88757622993,28328.62152515699,7.0,True,True,True,True
25.0,7336.71,11.0,38.47,1.0,35.19,1.0,8.05,148.85,9.82,8.74,279.04,342.91,169.95,496.02,61.76,38.06,6.9,94.23,6175.68,33.22,38859.56828173672,891115.9587488391,889133.5853215876,21.0,True,True,True,True
26.0,12250.24,8.0,24.39,2.0,56.91,2.0,15.52,103.92,23.46,7.69,134.19,726.32,197.99,466.75,65.44,68.98,23.26,141.43,2650.43,54.21,36323.581640139826,23688.552059936912,22545.648570876023,7.0,True,True,True,True
27.0,15311.38,4.0,29.45,3.0,32.39,1.0,20.58,25.26,15.23,23.81,93.82,662.04,248.08,594.74,28.91,40.4,22.8,67.46,5985.12,136.16,32726.628884586415,26837.02036891318,23002.533741886095,13.0,True,True,True,True
28.0,17599.73,4.0,90.36,8.0,14.03,1.0,10.92,134.38,22.78,20.49,254.16,634.55,581.14,231.82,44.74,13.06,11.23,99.99,6995.27,61.02,23465.39535508101,22602.76830027375,17060.52385599212,5.0,True,True,True,True
29.0,5693.2,8.0,67.07,5.0,28.71,2.0,4.44,73.62,6.74,9.0,203.63,739.16,414.24,650.39,38.54,71.99,10.76,58.37,8785.52,101.33,106073.99872234714,259767.73253264272,254867.75359683743,75.0,False,False,True,False
30.0,8451.61,10.0,26.72,4.0,49.33,1.0,22.22,65.13,18.56,16.42,210.32,688.46,337.43,504.96,58.86,67.63,16.55,145.63,2358.32,141.04,43048.622153797114,20603.21472046125,19078.24941049976,5.0,True,True,True,True
31.0,18362.1,7.0,81.57,1.0,41.77,1.0,4.83,30.45,36.83,10.35,295.93,564.2,309.89,299.46,31.04,65.08,14.87,99.01,8957.73,41.88,31233.332284789485,712677.2206772373,708325.094281239,31.0,True,True,True,True
32.0,7329.61,11.0,53.64,5.0,32.34,2.0,24.42,145.82,32.15,13.65,184.72,498.77,301.86,378.61,21.6,26.69,23.0,81.86,8711.13,32.4,95432.49386466276,46259.92818663926,40794.068112760055,11.0,True,True,True,True
33.0,11538.09,6.0,103.82,5.0,28.02,2.0,11.54,119.3,12.37,14.84,60.49,191.14,103.78,626.29,13.3,39.21,5.51,61.39,4490.7,55.64,37921.69764339619,22238.528425469325,19070.55868526737,5.0,True,True,True,True
34.0,5009.82,3.0,40.94,7.0,53.02,1.0,20.56,134.97,22.41,24.25,218.8,599.38,533.72,693.89,19.34,70.29,10.55,103.06,6890.31,131.79,185016.8400003399,41235.04381090231,36754.22757429594,16.0,True,True,True,True
35.0,9968.55,11.0,106.36,4.0,71.65,1.0,4.02,81.11,31.53,22.99,89.01,736.76,96.52,138.19,48.62,18.41,7.36,66.07,3406.57,144.98,69761.5672338394,20961.4285757566,18999.491805448073,5.0,True,True,True,True
36.0,7632.4,6.0,102.47,4.0,37.41,2.0,14.73,91.46,13.75,6.99,150.94,534.07,205.28,244.96,42.51,59.96,17.29,82.04,3513.16,77.56,60680.4645551485,22793.80991251957,21037.34288991376,7.0,True,True,True,True
37.0,15406.67,8.0,24.52,6.0,56.28,1.0,13.45,147.56,11.79,6.27,224.23,274.15,452.84,298.04,56.48,31.5,17.24,149.1,1479.36,26.53,18395.936999725956,18498.67729530251,16872.507562753734,6.0,True,True,True,True
38.0,12163.55,5.0,86.08,2.0,51.98,1.0,4.83,129.22,19.8,14.18,66.54,583.41,297.06,369.12,37.61,64.47,17.11,48.45,5854.04,111.01,62883.58922097692,52700.68607121581,49872.28311326816,25.0,True,True,True,True
39.0,12400.42,4.0,30.84,5.0,31.3,2.0,20.62,43.04,35.62,17.99,214.14,253.55,209.02,475.85,73.49,19.45,9.83,76.22,7522.48,88.4,48519.25736000319,25516.673158850284,20400.63417810251,7.0,True,True,True,True
40.0,15788.99,2.0,107.01,6.0,15.76,1.0,23.37,83.94,24.96,19.34,75.37,521.47,120.05,253.06,60.9,22.82,11.77,92.34,4703.33,58.59,18788.01336894535,21059.242117792015,17474.53344752655,6.0,True,True,True,True
41.0,19119.14,11.0,29.9,7.0,64.1,1.0,11.35,88.44,16.67,17.06,264.99,332.83,395.47,704.56,15.68,21.93,16.26,45.85,4074.02,137.02,38843.402576088134,20758.687895743893,17067.859765314974,6.0,True,True,True,True
42.0,16443.25,9.0,99.14,4.0,55.93,1.0,24.49,119.9,10.04,13.46,281.54,525.64,319.48,469.39,16.02,51.79,11.45,136.53,2911.47,29.52,36006.384325134015,20419.650342878576,18029.254058333503,6.0,True,True,True,True
43.0,14636.64,6.0,19.89,1.0,64.87,1.0,8.72,118.73,19.23,13.47,272.76,295.54,308.69,314.62,71.96,45.71,23.85,142.8,1695.26,119.91,25142.65630325166,25259.722367290316,25194.638632174265,6.0,True,True,True,True
44.0,6770.1,11.0,56.35,3.0,73.06,2.0,22.0,44.54,27.35,16.95,151.67,711.97,456.65,622.36,68.75,24.42,21.75,92.82,3717.68,58.85,107513.06378451436,41458.319574194174,40022.20714944286,24.0,True,True,True,True
45.0,13460.99,10.0,90.16,5.0,63.14,2.0,20.37,124.31,18.87,18.1,259.7,576.22,581.89,631.0,66.51,14.96,6.52,29.55,4614.26,43.39,62037.04330392892,22414.61863425029,18763.198050536284,6.0,True,True,True,True
46.0,18398.22,4.0,43.76,1.0,51.18,1.0,5.78,103.28,22.11,19.72,173.78,620.79,464.1,161.88,18.62,32.54,21.7,46.82,5059.38,109.8,35198.69189984167,75003.9569925506,73144.77315884903,75.0,False,False,True,False
47.0,15965.76,7.0,61.96,7.0,18.53,1.0,10.74,49.24,22.16,7.76,247.83,468.91,403.88,315.51,57.01,24.2,5.29,38.17,8654.117,114.81,32494.41500178889,24417.80748370753,17911.947451215074,11.0,True,True,True,True
48.0,10707.34,7.0,66.55,5.0,55.75,2.0,22.13,98.32,30.31,8.42,69.55,419.46,186.54,541.52,56.73,31.21,20.0,82.49,6774.41,43.31,86528.23155041494,26608.84735362521,22114.240843015017,9.0,True,True,True,True
49.0,10338.38,11.0,55.04,5.0,51.29,2.0,4.29,121.82,22.04,6.34,205.77,354.52,566.48,131.82,20.89,14.5,12.26,36.71,5819.15,109.73,76308.04716720986,23611.77285618449,19815.597630312102,6.0,True,True,True,True
50.0,16643.23,9.0,69.78,7.0,73.33,2.0,17.59,32.19,18.67,9.59,148.12,326.93,152.17,484.73,68.2,49.78,11.85,31.74,3297.96,65.79,40345.89064274894,19894.38447591987,17062.398234860397,11.0,True,True,True,True
51.0,18945.25,12.0,42.09,3.0,26.02,2.0,8.55,125.52,19.29,14.33,247.32,216.9,299.12,253.31,37.86,48.55,16.7,30.87,4162.59,45.41,20959.627414470066,21392.50309512955,18461.422917966134,8.0,True,True,True,True
52.0,14094.08,4.0,67.1,5.0,12.4,1.0,24.34,74.16,13.68,23.88,167.39,193.81,591.32,428.37,37.77,16.57,22.11,121.88,2856.06,55.7,14051.783795772852,19696.053426353767,17348.826864551644,7.0,True,True,True,True
53.0,5115.24,9.0,49.29,6.0,70.78,1.0,18.0,127.23,37.45,20.14,123.93,497.9,187.79,684.99,56.39,62.76,5.7,110.74,7516.47,136.04,240732.809191374,55558.373448041035,51005.90934931738,29.0,True,True,True,True
54.0,8253.41,5.0,25.53,5.0,48.38,2.0,13.56,108.13,35.18,23.56,227.35,210.39,483.61,638.81,71.48,53.78,21.35,27.14,6125.43,144.15,87285.09159931024,30778.492036399388,26906.463703349447,12.0,True,True,True,True
55.0,17308.94,10.0,38.64,7.0,26.5,2.0,19.82,112.73,8.14,14.31,199.68,146.64,137.18,490.93,43.98,35.33,14.99,27.04,5886.56,46.29,28959.08314756537,22179.166506798698,17434.30242792345,8.0,True,True,True,True
56.0,15732.97,6.0,110.69,1.0,57.65,1.0,8.95,100.44,24.55,9.48,197.56,672.9,524.52,340.96,24.53,57.13,15.62,52.22,6866.59,119.54,41609.237414649615,690638.4672764668,687914.7633666159,47.0,True,True,True,True
57.0,15109.88,11.0,97.5,4.0,33.44,1.0,7.29,78.08,15.16,11.08,169.6,717.7,373.17,164.75,27.83,43.06,20.73,98.21,6601.0,137.4,41730.28133552331,23846.810748742544,19457.44491538472,9.0,True,True,True,True
58.0,9538.83,8.0,40.97,8.0,25.13,2.0,6.95,62.47,22.59,23.43,116.05,718.84,227.48,713.73,67.73,25.01,4.18,35.56,7815.75,82.35,53460.859752164506,25086.691436431724,19338.87716026661,6.0,True,True,True,True
59.0,13678.05,10.0,29.05,7.0,35.78,1.0,7.37,24.73,9.27,23.62,226.02,188.92,501.02,273.17,18.92,34.09,6.57,122.81,3229.7,104.89,29467.90276000311,19579.64436741689,16946.71391443775,5.0,True,True,True,True
60.0,9765.61,6.0,23.17,1.0,74.4,2.0,15.56,145.99,18.39,10.71,53.2,477.74,400.02,450.13,25.2,19.0,14.52,92.83,8343.43,144.82,58131.155570342955,876683.6995496679,873341.2052243083,31.0,True,True,True,True
61.0,10509.46,10.0,81.42,7.0,56.68,1.0,24.94,149.76,12.06,18.39,200.37,481.07,216.41,169.02,64.86,13.41,24.37,110.99,8300.97,112.24,106879.13651849558,24967.499223978448,19199.30316154921,6.0,True,True,True,True
62.0,13998.4,8.0,91.78,6.0,30.13,1.0,23.45,88.72,32.04,8.95,53.33,255.59,155.79,518.58,39.27,52.18,10.77,27.2,5700.61,79.16,39913.17454526768,22507.604606755853,18147.157978036972,6.0,True,True,True,True
63.0,13267.18,12.0,36.59,8.0,43.83,1.0,7.62,70.32,19.03,24.78,170.96,234.35,265.01,439.06,16.91,36.1,22.31,89.06,1630.05,76.88,22050.207783543887,18382.14119794271,16671.481400516725,7.0,True,True,True,True
64.0,18960.88,11.0,24.21,5.0,32.07,2.0,5.78,148.16,10.74,4.71,188.01,557.09,579.83,438.12,61.41,47.62,20.51,27.73,1670.83,30.8,15165.152867301584,18673.88718267615,16799.52676239337,7.0,True,True,True,True
65.0,5653.76,8.0,53.42,5.0,26.41,2.0,16.48,59.14,10.54,4.22,54.48,714.95,284.9,516.45,42.47,34.9,24.98,91.56,4755.38,27.55,65332.78923196735,34373.12392316061,32101.56486507319,11.0,True,True,True,True
66.0,18667.45,4.0,24.89,6.0,51.33,2.0,21.83,36.96,20.49,23.08,181.49,206.96,211.71,210.02,27.98,28.58,17.46,35.67,8524.59,118.46,52510.96072978149,24072.03776197596,17757.274501863754,8.0,True,True,True,True
67.0,11102.82,8.0,66.57,2.0,30.73,2.0,13.06,62.85,8.79,23.16,51.03,634.87,584.09,333.21,35.77,33.18,10.03,104.12,5629.1,37.05,42648.18312568987,61290.2960360777,58778.561886176605,75.0,False,False,True,False
68.0,12142.85,7.0,81.65,7.0,51.45,2.0,18.55,40.41,25.28,7.73,236.76,716.03,252.67,385.47,48.03,69.94,6.09,50.98,2055.1,35.13,33040.5638767585,19063.196656540204,17107.4285610466,7.0,True,True,True,True
69.0,13568.53,9.0,99.74,5.0,58.29,2.0,21.15,92.62,6.27,18.25,225.89,726.13,101.76,638.19,54.95,16.3,15.29,114.86,3658.5,60.12,49001.62313876334,20968.564804448968,18037.213335818866,6.0,True,True,True,True
70.0,10603.91,5.0,48.45,6.0,72.81,2.0,13.62,50.15,30.7,8.9,134.81,227.27,214.45,571.82,22.6,17.29,10.78,53.09,7551.33,104.52,112993.7189044081,25394.78913097378,20049.136732790037,6.0,True,True,True,True
71.0,8713.19,7.0,89.91,5.0,51.99,2.0,4.96,89.92,24.66,4.82,142.96,317.7,554.89,463.27,70.22,22.06,8.25,75.33,5451.09,121.86,83978.10812617482,25728.611716764888,22269.133552705815,10.0,True,True,True,True
72.0,17391.88,8.0,39.87,1.0,19.2,1.0,10.52,96.24,15.18,24.03,135.76,550.58,352.35,606.52,44.68,22.67,6.43,94.22,5009.8,145.35,16945.827477320465,310782.8255552979,309244.89438179665,75.0,False,False,True,False
73.0,12265.65,10.0,43.38,3.0,74.06,2.0,4.67,131.69,32.57,19.19,74.12,405.33,154.47,606.51,32.45,19.24,4.33,33.35,8179.13,73.94,108781.15462465708,44401.34435046631,39308.09176426298,21.0,True,True,True,True
74.0,18231.52,6.0,81.92,5.0,54.16,1.0,15.02,24.5,36.52,20.34,290.43,508.51,493.68,216.1,68.79,24.77,11.47,80.1,5304.36,128.4,41099.63909332558,21637.905974916055,17607.06614500809,5.0,True,True,True,True
75.0,8117.38,4.0,80.77,2.0,55.11,2.0,19.78,140.78,33.3,4.26,255.41,134.28,592.99,637.5,65.13,54.03,24.66,68.11,2788.4,138.36,72093.60957210064,42126.97591488386,41330.334975562066,25.0,True,True,True,True
76.0,16924.02,7.0,82.49,8.0,57.42,2.0,10.49,94.78,13.03,11.35,62.29,324.72,253.35,139.7,26.35,69.85,22.72,138.07,2782.37,83.15,30269.037021335844,18995.932801112933,16707.987181877386,5.0,True,True,True,True
77.0,16621.09,8.0,41.05,5.0,33.07,2.0,12.19,124.96,17.77,20.62,200.2,202.37,534.89,565.52,22.13,22.2,11.42,38.61,7147.07,73.48,36024.70398350958,24141.801510551926,18729.99565942232,7.0,True,True,True,True
78.0,11170.12,4.0,66.96,8.0,64.74,1.0,15.96,71.85,24.3,18.14,110.56,569.8,533.83,703.41,19.18,70.85,10.12,84.65,5039.35,75.18,76656.18475641473,22213.765265059337,18076.683990489495,6.0,True,True,True,True
79.0,18606.1,11.0,105.23,1.0,14.25,2.0,6.64,84.19,9.25,17.05,203.94,190.05,576.57,672.03,64.77,71.46,4.95,140.55,5205.61,118.27,16830.714314675137,279856.8744450569,277937.3553924461,75.0,False,False,True,False
80.0,15886.9,2.0,21.46,1.0,49.47,1.0,8.7,104.4,29.48,7.25,124.13,503.59,410.46,460.17,48.71,59.07,11.35,34.17,5134.69,90.28,35595.30529865265,439060.1393034893,437540.67367635755,75.0,False,False,True,False
81.0,11396.58,2.0,104.19,2.0,50.46,1.0,14.56,82.64,14.76,4.95,228.74,377.59,262.38,601.01,25.05,24.49,12.98,135.11,1761.13,28.14,33201.08323277281,21377.67068927538,20597.1640599847,7.0,True,True,True,True
82.0,19764.94,9.0,38.57,7.0,73.75,2.0,23.72,52.22,35.99,7.04,138.61,663.48,148.68,598.65,20.69,37.71,13.61,88.0,3887.66,108.79,38432.25100986495,20230.627429178603,16818.91657889459,9.0,True,True,True,True
83.0,9648.75,8.0,77.45,1.0,31.37,1.0,9.2,135.89,17.71,16.51,190.3,557.57,363.15,506.63,67.96,72.43,7.29,27.75,4951.53,112.87,31678.459462696646,825160.2303435556,823972.3636359728,21.0,True,True,True,True
84.0,15821.66,3.0,88.81,8.0,67.69,1.0,19.44,105.75,14.91,21.64,144.63,381.96,274.59,328.09,46.47,38.8,21.55,56.23,3792.56,70.16,42807.91063865427,20305.388478734974,17108.821922261566,10.0,True,True,True,True
85.0,5608.2,12.0,61.74,4.0,42.12,1.0,20.65,53.14,11.6,15.03,177.68,169.49,579.41,314.54,14.84,30.23,9.1,104.06,6482.54,131.66,122948.535853137,95041.80158731068,92028.93096819209,75.0,False,False,True,False
86.0,14089.62,4.0,76.17,2.0,35.47,1.0,20.67,144.89,18.73,11.19,117.15,335.73,579.26,666.35,59.37,63.29,22.11,40.36,7130.55,65.44,46583.85487235208,65836.12510718196,61668.07147388333,75.0,False,False,True,False
87.0,13425.73,2.0,34.29,7.0,42.29,1.0,7.96,91.93,29.02,10.33,48.86,150.09,541.43,469.59,27.69,37.05,8.18,64.16,6675.71,65.82,52107.71268342522,22981.1962793242,17922.691539304837,6.0,True,True,True,True
88.0,8012.74,12.0,83.06,6.0,55.4,1.0,6.57,45.78,12.49,5.27,218.54,505.05,528.39,694.4,46.67,31.81,22.68,139.51,7769.84,33.57,128890.01240739676,32908.33375313135,27616.872939170804,5.0,True,True,True,True
89.0,13500.29,4.0,87.09,7.0,13.24,2.0,22.92,122.06,15.32,7.72,286.64,682.29,559.51,591.62,32.68,31.28,10.88,72.49,5627.5,138.62,25596.48814753931,22760.89398136739,18210.72720748105,5.0,True,True,True,True
90.0,10479.14,3.0,67.0,6.0,38.36,2.0,6.63,112.18,19.09,4.01,259.02,440.34,443.0,644.36,15.94,19.6,11.69,138.11,8003.23,107.83,78487.9718757953,26641.5650876198,20909.212449705563,8.0,True,True,True,True
91.0,9153.78,5.0,95.43,8.0,30.43,2.0,23.0,59.81,18.55,16.05,258.72,677.7,372.36,621.53,16.22,36.31,9.6,93.19,4282.91,111.29,56197.06435884202,21596.678965508712,18225.864330534037,5.0,True,True,True,True
92.0,13872.83,12.0,51.11,1.0,33.02,2.0,22.01,28.41,26.06,4.89,98.66,432.77,327.88,325.06,13.75,37.3,24.84,93.26,3322.2,149.13,24118.38965595132,62954.02231846217,62460.11548961557,75.0,False,False,True,False
93.0,19584.53,8.0,61.41,5.0,39.39,2.0,5.19,146.48,30.07,4.69,299.88,214.25,525.48,269.27,24.1,14.85,20.85,145.7,5837.94,43.45,31864.620756017262,22253.51437161852,17659.915375574066,9.0,True,True,True,True
94.0,8509.11,12.0,86.23,7.0,14.88,1.0,9.5,95.1,15.63,24.41,251.67,670.15,334.65,442.98,22.13,32.97,6.98,87.59,5192.58,76.1,44074.343157469535,22673.173753557247,18979.69552702574,8.0,True,True,True,True
95.0,12990.63,2.0,39.37,8.0,35.98,1.0,14.01,44.38,30.98,12.75,173.99,301.62,279.39,470.84,28.81,53.75,4.64,141.44,7291.39,84.54,52632.403534887846,23321.184198490304,17829.588808424134,7.0,True,True,True,True
96.0,15778.16,10.0,69.81,6.0,42.86,2.0,18.38,35.68,34.64,8.88,94.57,206.13,568.91,383.84,21.88,53.68,4.25,142.28,5047.83,29.81,39811.5024402302,21340.61418979859,17492.804411055848,10.0,True,True,True,True
97.0,14962.96,3.0,67.09,4.0,73.64,2.0,19.68,28.2,17.03,18.43,90.59,377.33,124.5,125.21,29.08,35.69,15.44,29.7,6754.69,75.14,71819.15159571842,24107.36128894712,19755.184298737695,7.0,True,True,True,True
98.0,18963.28,10.0,24.82,7.0,30.34,2.0,11.35,59.24,15.15,12.28,53.92,274.92,308.98,539.85,47.69,13.67,9.86,144.33,4632.51,135.79,19638.77943979404,20932.874301114756,17115.88603566879,10.0,True,True,True,True
99.0,12464.56,10.0,66.38,5.0,73.25,2.0,15.93,60.14,20.73,16.81,109.96,314.95,232.22,709.82,35.81,14.56,18.75,136.12,6154.11,99.49,89031.31784673834,23910.016565477235,19461.983591301578,5.0,True,True,True,True
100.0,17349.48,3.0,45.3,5.0,14.71,2.0,16.53,123.57,27.68,7.99,119.75,516.44,398.36,747.34,43.62,43.13,24.55,64.56,7482.9,75.47,24492.85936242708,24270.20955773837,18523.592283944523,8.0,True,True,True,True
101.0,18961.46,9.0,92.16,3.0,49.25,2.0,23.38,133.54,36.66,8.72,219.59,416.77,546.98,365.89,34.34,33.86,11.79,55.55,7625.25,83.29,49273.820316239835,27070.75749488641,21878.154382322657,12.0,True,True,True,True
102.0,7325.87,7.0,95.85,5.0,30.73,1.0,13.74,136.31,37.29,9.09,135.08,610.91,561.82,701.01,22.23,57.72,7.07,30.82,5771.57,38.32,77823.34466140499,32673.545236618906,29140.193056915257,5.0,True,True,True,True
103.0,9593.35,2.0,35.2,2.0,66.19,2.0,6.17,60.43,28.09,13.21,234.48,396.55,251.97,279.54,15.52,52.88,4.77,70.75,4513.73,33.01,77862.5307216265,51123.953661122185,49412.71285727274,29.0,True,True,True,True
