scenario_id,arrival_rate_mean,res_AML_Investigator_amount,res_AML_Investigator_cost,res_Applicant_amount,res_Applicant_cost,res_Appraiser_amount,res_Appraiser_cost,res_Clerk_amount,res_Clerk_cost,res_Loan_Officer_amount,res_Loan_Officer_cost,res_Senior_Officer_amount,res_Senior_Officer_cost,el_node_fb6142cf-431e-49a2-8278-0ab153e033d9_duration,el_node_72f9366b-1a12-44b3-9d62-12151a3c986b_duration,el_node_b7b69815-2300-45c0-b795-b10641e4997f_duration,el_node_e96c5ddd-ce95-4d1c-b20e-4236a5ede724_duration,el_node_4aac3e09-f63b-4091-b1dc-382ae5799d24_duration,el_node_ec71f837-04b3-439c-8f5b-6c03f40ba4a9_duration,el_node_3fd5220c-2503-4b5d-a543-78dbeee830c9_duration,el_node_2dee630f-fe8e-4719-8b0b-546b1310b27d_duration,el_node_4eb5f5ad-92ef-41f7-9814-f2df60a90301_duration,el_node_a9e6f8b0-d94c-42cc-ab3f-ed02e0faa62e_duration,el_node_a265a23b-82f9-446b-8167-ad6c1655e313_duration,el_node_74bde187-ed90-4355-a7b0-2229bd9210e2_duration,kpi_total_cost,kpi_std_total_cost,kpi_cycle_time,kpi_std_cycle_time,kpi_waiting_time,kpi_std_waiting_time,n_reps_used,converged,converged_wait,converged_cost,converged_duration
27,2783.89,2,13.09,1,21.59,3,41.17,19,8.42,10,20.31,1,47.62,187.08,4018.61,3721.21,1552.27,541.2,202.27,138.47,3688.52,389.76,972.42,1195.27,2104.4,18.830266666666667,0.35641978489284665,71933.22758634033,5439.136804137947,66593.37927974133,5757.910217724917,75,True,True,True,True
33,2097.83,2,46.14,2,18.68,3,23.08,13,39.77,9,16.49,3,29.68,136.25,1160.21,1556.7,1634.63,395.81,142.88,712.27,4309.85,516.65,367.02,1946.57,881.57,24.51214285714286,0.4231987037517279,62378.51470859273,3823.2413231077476,57805.11887323567,4286.246255142009,56,True,True,True,True
19,2035.02,2,19.5,2,10.52,3,38.16,8,40.8,4,21.09,3,46.49,352.34,2295.11,6834.91,1025.12,461.98,57.58,599.77,3714.54,842.49,468.26,1401.04,691.05,23.519756097560975,0.43331616948844454,70428.06394617703,5835.833422268798,68579.08568556762,6235.916221892073,82,True,True,True,True
39,2254.62,2,13.71,2,20.87,4,41.23,13,14.35,10,47.49,2,35.98,300.86,1539.06,3135.3,1241.97,543.7,252.06,280.05,3713.02,1243.07,304.83,1521.75,829.64,24.134411764705884,0.35899009167107054,65802.97975722456,3412.701043658198,61086.03522154411,3457.5792239278717,34,True,True,True,True
12,1577.23,5,15.95,2,15.53,3,17.68,9,36.16,7,45.64,1,44.04,60.89,1137.01,4591.73,1082.97,248.12,207.93,701.37,978.25,1084.49,501.55,1877.3,1870.68,47.82296875,0.6164920722916171,112531.248295317,8681.255270024474,109231.85549139426,8663.855055431706,64,True,True,True,True
18,1978.13,2,19.79,2,11.47,5,31.68,20,35.06,8,27.97,3,13.14,158.78,4198.35,8609.31,1526.76,450.49,76.49,615.87,4266.9,731.22,669.26,1103.72,1133.04,23.055245901639342,0.2865519531567069,64190.14472676893,4340.625028816387,60880.70577330563,4751.787796341491,61,True,True,True,True
42,2989.68,4,44.06,1,37.29,2,48.98,4,39.97,8,13.38,4,26.92,176.8,3190.6,4792.21,1225.1,562.3,229.08,731.54,3719.26,848.77,288.88,1785.28,996.41,19.095517241379305,0.37280902600789895,102996.69223342718,7218.408211387713,100638.37660325199,7587.614129326254,58,True,True,True,True
41,3476.21,5,13.29,2,42.73,2,22.69,18,29.48,9,22.23,4,34.12,290.73,2020.27,5932.01,1838.9,527.72,113.03,611.02,4288.56,1327.59,350.57,2040.27,1891.44,21.987099999999995,0.5631787397703263,102133.60980956675,11110.469056634196,105989.24098129981,16222.6258839732,100,False,False,True,False
8,1782.83,2,21.39,2,41.12,4,24.43,18,26.39,5,12.49,2,28.12,136.03,1434.83,7592.54,734.01,438.94,266.09,353.97,795.62,755.71,676.36,1522.93,626.18,46.13309999999999,0.678381459092452,114157.44659286618,11861.689388136221,119360.60744128638,14273.717399940668,100,False,False,True,False
37,2801.21,4,10.9,2,37.52,2,26.9,8,49.19,3,15.71,1,12.55,327.31,1664.06,6792.58,777.89,141.2,168.3,371.38,3679.4,672.53,865.25,1058.63,1108.19,25.5231,0.5556372172305571,92023.02311736064,7517.871687814312,93158.2272604306,9725.152536097577,100,False,False,True,True
43,2661.21,3,8.84,1,43.25,3,17.44,13,39.58,5,25.64,2,26.94,360.92,1793.92,4630.32,821.16,568.14,163.25,493.7,4561.87,399.12,265.29,936.31,465.29,22.828780487804877,0.30948501677747825,70251.4565216521,3978.570010967237,65493.20726165539,4129.51031461841,41,True,True,True,True
51,3444.59,5,18.71,1,17.35,5,17.1,17,41.84,5,25.71,4,28.66,346.41,1316.57,4486.75,661.15,626.18,223.68,265.74,1096.06,364.92,566.73,1436.67,1440.74,25.656,0.30781744418952,73781.19640201925,2149.466574330791,69561.89466709436,2020.375594167529,20,True,True,True,True
50,3026.04,4,31.01,2,48.88,5,35.17,7,10.73,10,24.9,3,19.17,370.8,1984.45,2282.62,1265.15,113.53,147.48,565.1,1636.43,825.38,806.25,1853.34,1484.68,29.102999999999998,0.193230160008323,88120.59869339767,2451.7317482360145,83370.63695396177,2890.687575993823,20,True,True,True,True
55,3147.08,4,17.17,2,17.66,3,39.64,11,37.58,3,10.85,5,28.63,166.59,890.1,2057.65,1281.33,646.87,150.24,156.15,1910.37,998.33,419.94,1001.58,993.71,27.913750000000004,0.36749223594283015,87005.502421945,2929.4372275483,84460.86765843873,3912.0116220545788,24,True,True,True,True
40,2870.73,1,47.56,2,10.51,3,46.74,15,27.98,2,33.28,2,38.69,95.36,3165.35,1800.71,660.49,545.52,79.81,453.67,2190.42,711.79,679.68,1162.7,954.16,17.9657,0.47785770884123,49539.48297346537,4865.091310959187,44474.30674174374,5237.489304365125,100,False,False,True,True
25,1333.95,5,17.1,1,23.46,1,16.11,3,49.62,6,13.09,4,17.48,301.55,2081.45,2549.2,1294.62,259.09,136.82,545.85,2674.33,1027.69,410.77,723.08,1668.73,17.232,0.4770807694783565,146587.23103799997,43447.01368432772,143006.89848494204,44721.21956357243,100,False,False,True,False
22,1889.14,4,11.72,1,35.43,1,49.48,11,43.77,4,10.16,5,31.32,251.35,2553.75,3076.63,1005.28,309.04,140.09,162.04,3293.81,1341.6,827.77,1491.38,579.35,22.3992,0.3881754263424742,64367.20665190402,6392.207652214452,60966.03986346463,7444.062559113461,100,False,False,True,True
46,3345.13,2,19.45,1,34.12,1,11.57,19,34.43,9,29.48,4,39.44,337.35,3768.2,6961.52,422.5,320.65,106.78,124.46,3181.48,893.22,206.14,1610.7,1567.91,13.232300000000002,0.24989232024448388,60768.649565363565,6780.508976146384,53564.93261095563,7033.85472839439,100,False,False,True,False
38,2211.55,2,38.26,1,34.65,1,9.66,19,43.07,8,26.4,3,28.35,102.53,3541.27,4455.95,963.41,225.63,172.01,520.44,1237.91,943.05,447.88,1849.4,611.4,20.245500000000003,0.3604637164945883,62550.27261606268,8214.893562073285,56325.84662821123,8566.36489157381,100,False,False,True,False
2,1606.35,1,42.2,1,11.86,2,38.6,13,15.89,9,19.55,1,35.61,237.11,2382.82,4636.25,1903.95,321.49,129.55,681.46,1952.5,854.18,249.43,749.02,1679.57,23.908,0.5395546236658454,58494.47598518462,7388.147356775517,55994.46257981171,8411.112977351453,100,False,False,True,False
45,2447.45,4,40.07,2,42.09,3,40.73,12,41.44,8,25.16,3,36.19,257.65,3497.67,8728.34,1646.9,453.06,59.26,562.45,3419.15,723.04,248.73,1848.36,1737.3,24.704375,0.395005554768376,77695.91043898037,4748.577503265288,73199.17098017952,5022.139517422507,48,True,True,True,True
35,1812.46,5,47.27,1,47.77,1,8.04,4,27.04,4,42.04,5,45.98,316.08,4472.13,1447.76,360.67,423.04,209.87,378.11,4011.56,1493.0,340.18,1699.37,1821.01,18.3635,0.3231610756388846,151176.36331383963,14798.08156904801,151937.2460225826,18066.71531253721,100,False,False,True,True
30,1536.66,4,11.88,1,32.89,2,44.44,17,21.71,8,24.75,1,32.85,138.8,4178.96,5061.39,1317.94,385.15,83.59,179.43,2398.77,1411.36,356.39,713.04,1288.03,27.513962264150944,0.3208662531254648,63492.620944314884,4234.217045422397,66487.45131534064,4799.549667514987,53,True,True,True,True
47,2902.87,3,27.54,2,12.36,1,21.47,20,16.41,5,29.55,5,15.53,296.4,2846.3,6058.17,823.48,603.47,193.36,467.17,3631.75,1466.62,772.16,1411.42,1187.99,16.126099999999997,0.33788078406802635,61001.8745416302,5947.080585753158,55105.29469670958,6613.22711451226,100,False,False,True,True
49,1879.71,5,24.46,2,34.2,5,8.57,14,40.61,4,29.39,5,12.69,341.18,2151.92,8497.22,344.04,541.46,251.71,140.59,3953.77,1370.2,866.93,468.78,488.63,35.49866666666666,0.3959687669094829,82707.09478741749,3915.122311026423,80739.69370884089,4293.189837309983,30,True,True,True,True
56,2860.54,2,49.19,1,38.43,1,17.9,12,33.48,3,32.74,2,18.96,69.64,4084.52,7867.8,889.9,263.24,125.35,374.15,3065.43,771.36,858.65,2072.31,1417.73,14.2211,0.21778914369433353,63301.21722191874,7341.668699161339,55853.308055771544,7914.027181734334,100,False,False,True,False
66,3394.08,2,11.06,2,34.22,5,43.66,11,12.32,9,27.32,3,46.17,309.41,1256.28,3175.7,548.15,364.37,105.45,473.21,3284.58,1107.65,351.24,1807.09,1972.99,18.983666666666668,0.3893273007720328,68773.93736377785,3395.894510754137,63654.64420731203,3385.1956798647398,30,True,True,True,True
52,2562.56,2,29.82,2,8.27,2,48.67,12,24.72,2,18.24,1,47.75,342.24,1176.42,8869.87,1118.06,527.77,166.38,379.54,2822.23,1244.64,667.28,2267.15,968.54,23.261199999999995,0.42633576183353616,103064.22605233213,14091.376416362218,99654.11647528427,14446.305149652087,100,False,False,True,False
64,3447.43,5,10.76,2,21.38,3,11.55,18,49.39,8,14.32,4,9.42,191.71,3381.54,8697.4,1143.49,484.78,183.0,642.17,4150.44,872.12,870.47,2099.56,1466.51,21.47771428571429,0.4003844942941991,90313.35380892812,6338.442124400098,87249.53881871347,7227.496654388561,70,True,True,True,True
3,1131.25,1,41.65,1,32.45,1,26.19,4,28.12,4,38.85,1,12.77,183.24,2375.16,7018.05,780.51,489.72,46.36,307.99,4154.3,854.7,185.03,1077.99,1642.3,17.858800000000002,0.420973570993177,120371.5829324497,28273.786466636142,117519.95822323904,29919.695134272475,100,False,False,True,False
57,2747.25,5,43.33,1,22.29,2,14.57,10,26.03,5,20.22,4,22.16,119.08,4356.42,5597.62,430.0,411.08,129.68,724.44,2753.09,551.86,878.34,497.42,2253.08,19.93268817204301,0.3040814385516193,69802.07144642973,5668.871689793086,64210.67937195889,6223.646093569196,93,True,True,True,True
59,2486.92,4,12.91,2,23.85,2,14.73,6,8.24,9,12.35,5,47.25,194.28,1146.71,7515.36,712.98,296.54,92.15,682.29,3249.18,326.4,952.19,1858.63,407.13,29.8571,0.5316665146765243,90608.07343631453,7889.248538478962,87606.99009152746,9681.020902626457,100,False,False,True,True
62,2545.16,3,40.79,2,20.09,1,46.9,15,29.57,10,42.72,5,17.9,320.51,1551.42,2336.82,1353.49,564.6,251.44,505.46,1160.37,1050.74,319.38,1922.5,1939.39,23.51945652173913,0.6788878496295115,59765.237236558925,4994.297356273775,53857.229550305696,5187.0483788678275,92,True,True,True,True
63,2412.21,5,16.26,2,29.22,2,15.24,6,23.44,3,25.38,2,49.56,215.83,1422.51,3975.18,1145.95,535.93,138.18,209.69,1773.08,1515.16,567.37,1982.04,1582.72,30.0535,0.4356844725210662,161061.98206056573,22884.79541919555,158356.03615038993,23010.77095078352,100,False,False,True,False
72,3162.16,4,17.72,1,12.8,3,21.04,15,32.08,9,20.24,1,48.05,345.89,3342.01,5285.19,1583.01,539.94,278.82,600.63,962.14,876.27,488.83,1184.3,1231.71,23.07186046511628,0.3981460357465974,80093.67981955377,4798.348617997517,73586.85929641673,4689.058349627729,43,True,True,True,True
32,1332.66,5,23.84,2,21.56,4,48.83,15,48.61,8,42.86,4,27.31,159.88,3027.54,4527.94,988.16,127.59,192.78,125.47,3850.47,454.19,284.7,1061.19,457.54,39.3220588235294,0.5319761865925999,65676.53607968372,3232.0912934381445,65504.78010923706,3680.5019906169537,34,True,True,True,True
68,2207.79,3,36.29,2,34.3,5,37.1,20,13.47,6,33.71,3,15.46,111.56,4346.31,3790.0,1006.08,461.5,107.78,369.01,2803.9,515.1,275.83,1586.64,2019.46,28.439090909090908,0.4640495569893278,73040.09133234469,3196.263078604729,72220.26137469138,3150.2399671512835,22,True,True,True,True
69,2467.01,4,44.33,2,38.86,5,42.3,11,30.87,9,8.35,3,36.5,307.69,4407.6,1526.42,1665.68,510.49,50.4,688.17,4167.5,852.81,619.57,1371.33,2140.85,25.584642857142853,0.4705039232556316,78566.99509969327,3680.1794654371847,78131.45655356231,3998.5876638976124,28,True,True,True,True
77,3022.02,4,18.24,2,22.05,5,24.39,8,41.65,3,23.69,1,41.24,298.98,1228.39,8023.28,1476.02,590.41,127.96,364.54,1443.33,343.96,161.98,529.39,1934.82,27.479090909090917,0.24699930770886366,74031.68394130218,3093.066726061569,68802.87760237284,3044.5060891510575,22,True,True,True,True
76,3077.1,3,36.66,2,38.28,5,20.97,4,31.59,4,17.37,5,22.69,119.64,1971.07,3800.27,364.62,585.7,224.64,367.21,2082.36,849.06,958.92,644.74,884.13,27.545961538461537,0.44346788293808465,96318.47799174578,6201.984536646168,93992.61230816055,6659.814452304867,52,True,True,True,True
67,2018.7,3,29.59,1,20.48,4,26.11,13,20.95,2,11.72,2,46.31,130.37,3853.65,8761.42,869.68,231.04,217.16,312.06,1391.23,1282.05,242.36,989.37,690.39,30.6755,0.44665107129299425,79236.00579201074,4446.457882760656,76801.97235411788,4792.575573888811,40,True,True,True,True
58,1734.33,3,18.21,2,16.75,4,13.9,18,20.82,5,30.12,1,46.85,228.3,4363.38,3412.2,1862.83,353.77,173.22,550.27,1352.48,444.91,190.1,1062.56,893.3,33.55547619047619,0.5551365570562397,73125.53693282185,3911.087366460472,68150.90138136064,4359.219056139638,42,True,True,True,True
79,3382.93,5,46.77,1,9.5,4,13.28,4,28.06,8,12.34,2,34.1,221.2,1153.59,8648.49,1753.99,256.91,227.29,530.64,951.08,1499.48,276.44,2111.05,2099.5,21.09266666666667,0.38938672611159975,151559.11732736128,12760.030446970051,149342.22821620468,14165.98785872836,90,True,True,True,True
74,3314.82,2,36.41,2,36.11,1,30.03,13,8.17,10,48.7,4,40.68,222.07,3086.67,7405.24,564.01,160.99,108.13,366.45,2790.52,534.22,677.3,616.93,2156.57,14.458999999999998,0.3841651054987012,54179.28296114016,5538.046372133734,47225.65946452881,5545.072364255807,100,False,False,True,False
73,2230.12,4,19.28,1,49.38,4,9.34,6,43.9,8,43.42,1,38.38,84.95,2460.37,2316.99,1583.0,550.37,273.54,214.93,3328.37,351.24,890.06,1021.79,1137.04,30.772,0.5274966609114481,101636.31593446806,6474.209154741311,98456.94288857709,6540.192408762475,45,True,True,True,True
61,1910.81,4,36.19,2,37.78,1,49.89,10,49.92,4,16.08,5,36.79,270.46,2920.1,3246.11,441.13,116.16,272.16,660.98,1335.38,897.98,179.08,1690.32,838.34,24.775599999999994,0.36990121531418224,56592.907195316366,6001.020151098372,50364.96450209871,6298.2774040663535,100,False,False,True,False
48,1946.79,3,29.58,2,37.17,5,44.25,14,32.77,3,40.41,3,16.84,93.1,2546.12,2798.14,1413.35,513.89,51.03,527.28,2193.52,1389.39,369.82,2180.46,1262.76,34.2247,0.45606453335669345,143960.41209766048,18239.736032908248,142530.69188838865,18388.37484031507,100,False,False,True,False
82,3593.62,4,17.14,2,49.17,4,47.44,10,17.41,2,47.99,2,14.08,223.22,4027.31,2230.24,1562.47,438.74,223.67,285.33,3793.31,1174.18,504.93,644.46,443.62,21.163953488372098,0.4405138151529746,116608.45148707749,7564.952558237848,128659.36848766258,11970.742477964684,86,True,True,True,True
54,1500.62,2,11.35,2,32.25,4,27.12,4,36.04,5,46.91,1,47.13,209.49,1277.07,7254.17,1667.29,221.22,210.65,190.0,1843.38,1474.81,388.39,422.82,1584.49,23.944100000000002,0.6062387685099364,185874.5323514203,30871.23863707412,184850.79039032885,32163.391139248542,100,False,False,True,False
11,1247.14,4,33.26,1,9.2,3,46.98,5,10.96,6,47.83,1,34.12,176.23,3263.18,2483.04,1415.47,556.28,282.89,468.85,2087.35,549.89,886.34,1255.2,528.01,31.720999999999993,0.6471483679196063,181754.87055183703,22374.216410497018,182395.15933203287,22949.45705632704,100,False,False,True,False
80,2888.53,1,9.54,1,32.98,2,17.41,13,34.8,9,39.3,4,14.5,325.54,3056.76,6156.97,1201.03,467.58,77.59,303.35,1357.98,1204.09,639.83,1934.92,1234.36,18.500842105263157,0.5091349843124511,70191.77555923058,6117.451671192098,66026.1802405605,6459.008314385425,95,True,True,True,True
60,1775.57,2,10.3,1,49.6,5,31.12,18,48.66,10,24.52,5,21.42,273.9,2899.88,6000.25,1174.83,343.38,116.89,120.77,4567.14,1515.86,555.56,505.74,738.02,24.744696969696967,0.28942499863838633,64809.744248591705,5021.362199537061,67940.40910754936,5485.686110901846,66,True,True,True,True
93,3560.82,4,27.29,2,26.26,5,10.38,14,48.83,3,40.1,3,9.38,367.92,1300.48,7882.14,702.8,620.67,92.83,289.08,4527.19,651.3,497.04,1696.14,1535.08,21.460625,0.3377433411869565,91966.07141836849,4516.989409018794,83758.84434930605,4529.680667573393,32,True,True,True,True
84,2876.67,1,39.47,2,45.13,2,38.87,7,35.25,10,19.88,2,43.27,128.03,2318.51,4118.9,856.32,172.91,231.81,339.2,3544.92,532.55,454.82,2241.82,2098.41,15.459100000000003,0.2872548405760004,55997.64349779799,5733.510133789802,48875.43171064415,5796.292613932572,100,False,False,True,False
96,2868.76,5,31.03,2,28.57,5,36.77,12,11.89,4,46.18,5,17.77,316.7,1251.18,8533.67,1001.83,413.44,155.43,143.64,1970.53,1329.13,974.0,531.19,935.99,30.561500000000002,0.2830710344177158,83076.16006969108,2787.122619798594,78725.68680506882,2949.705113530203,20,True,True,True,True
71,1584.22,3,39.96,2,34.66,4,9.92,6,29.97,6,32.88,2,9.63,314.56,1928.41,8323.41,1209.14,259.74,128.74,553.19,4432.1,666.11,954.23,1213.94,1370.77,30.013404255319145,0.45302018668787347,112787.88333708086,6751.5697974760415,111490.57197205746,7513.272768101789,47,True,True,True,True
89,2454.6,2,38.71,2,8.83,4,45.85,12,40.69,2,20.43,4,15.45,215.86,4141.52,8392.58,1544.14,251.84,225.3,346.09,1871.69,375.15,561.34,417.68,582.99,25.62512195121951,0.4854076737713337,71444.48494518604,4448.197582297839,69454.67831813257,4356.938714253119,41,True,True,True,True
70,1927.98,2,21.53,2,48.54,5,27.24,16,16.72,7,40.94,1,17.79,64.87,1379.54,3216.8,1492.44,116.52,80.49,405.22,1566.8,471.75,653.06,960.72,1252.05,35.8581914893617,0.7670933306914527,74786.20043058459,6751.660654981945,71286.66789279573,6960.593509123933,94,True,True,True,True
86,2561.75,1,33.85,1,23.65,1,41.33,9,48.3,3,24.97,1,22.37,106.23,2037.9,8688.86,1739.19,219.65,230.98,314.62,4214.38,1372.16,301.75,1057.82,685.14,14.0358,0.23961324055758074,68204.28170273993,9732.782616791848,66494.94930443562,11302.511093752662,100,False,False,True,False
75,1475.89,2,35.9,1,36.74,4,39.56,19,46.93,8,44.4,5,8.53,190.2,815.08,8894.79,1663.87,326.85,248.22,247.51,2375.8,1532.47,370.29,1959.33,688.24,35.01534883720931,0.587558908241018,68417.96310373998,4115.503254324164,68249.08960312734,4388.342949064824,43,True,True,True,True
87,2441.04,1,15.24,2,28.2,2,15.92,10,30.64,8,38.7,3,20.65,351.57,911.03,8121.38,1225.64,132.03,56.55,581.34,2892.3,1481.36,235.53,1723.34,861.38,20.077800000000003,0.4049107146874317,72294.9596467719,6563.636334317277,66670.83770668319,7026.186603870657,100,False,False,True,True
98,3447.87,4,11.03,2,20.23,5,22.7,4,19.75,7,20.2,1,24.55,108.79,1668.77,4634.77,1409.01,257.93,112.99,374.24,4082.26,613.76,437.23,428.69,1313.11,22.757105263157893,0.4879904069434641,107971.16580141627,6136.163059588912,103089.09228238351,6210.758048326656,38,True,True,True,True
